Model,MAE,MSE,R2
LinearRegression,82657.94605892817,10549721686.161528,0.9146454505137888
RobustRegression,199465.55955429235,61664910393.24919,0.5010881990728202
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,83413.36430444146,10664698491.555437,0.913715208587252
SGDRegressor,1.9094505242212915e+18,3.753756560734923e+36,-3.0370488402809754e+25
ANN,199199.5207179897,61466220330.39116,0.5026957391868765
RandomForest,99038.88240094627,15076991512.214779,0.8780167044766132
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
